"sim","name","k.studies","k.species","mu","sigma2.n","sigma2.p","sigma2.s","sigma2.u","rho","save_location","job_number","scenario"
77,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",177,2
78,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",178,2
79,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",179,2
80,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",180,2
81,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",181,2
82,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",182,2
83,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",183,2
84,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",184,2
85,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",185,2
86,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",186,2
87,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",187,2
88,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",188,2
89,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",189,2
90,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",190,2
91,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",191,2
92,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",192,2
93,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",193,2
94,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",194,2
95,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",195,2
96,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",196,2
97,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",197,2
98,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",198,2
99,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",199,2
100,"study2",50,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",200,2
1,"study2",20,40,0.2,0.3,0.3,0.3,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",201,3
2,"study2",20,40,0.2,0.3,0.3,0.3,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",202,3
3,"study2",20,40,0.2,0.3,0.3,0.3,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",203,3
4,"study2",20,40,0.2,0.3,0.3,0.3,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",204,3
5,"study2",20,40,0.2,0.3,0.3,0.3,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",205,3
6,"study2",20,40,0.2,0.3,0.3,0.3,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",206,3
